,sentence,word_labels
0,"Set of 2 Liosia PU Leather Patterned Bar Stools - White & Chrome Featuring a chrome gas lift lever, these bar stools incorporate a chrome base with a PU leather padded seat to provide maximum comfort and style combined.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"Fire Pit BBQ Grill Smoker Table Outdoor Garden Ice Pits Wood Firepit Sometimes the cold does bring out the best of everything. Especially if you have the 4-in-1 Fire Pit BBQ.Naturally, with winter, the Fire Pit, whether it's wood or charcoal fired, is absolutely wonderful with its warm-creating capabilities. Nothing like chilling around the Pit for a bit of social pow wow in the wintry outdoors. Better still, lay on a great BBQ while reminiscing cherished memories simply by placing the BBQ grill over the pit. Great food and endearing conversation are simply inseparable in moments like these. And there's still plenty of space around the Fire Pit to place your drinks, snacks and desserts to keep the good times going well after the main course.Without the flames, the Fire Pit doubles up as a snazzy alfresco outdoor table. Just cover the centre with the supplied mesh dome for a simple rustic transformation. What's more, it can even serve as a gigantic ice pit where the included huge ice tray can take its place in the centre hollow. Top it with ice and drinks for refreshing escapades all summer long.Designed to be strong, rust-resistant and able to withstand any inclement weather or high heat condition, the robust 4-in-1 Fire Pit BBQ is a must-have for anyone who enjoys entertaining outdoors winter, spring, summer or fall.Come on baby, light my fire!","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,Kids Ride On Motorbike Motorcycle Car Toys - White The slip-proof handle bar and acceleration pedal to control the forward and reverse movement give your child control and a realistic driving experience. It comes with some cool entertaining features that will allow your child to have hours of fun.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"Dog Cage 42inch Pet Cage - Black Featuring a foldable design with triple access doors, this dog cage offers maximum convenience and is extremely safe for containing your pets. It's metal constructed with a powder coated finish enhancing durability and is also rust resistant. Easy to setup, store, transport and clean. Great for securely keeping your pets contained, a must have for every pet owner.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"Set of 4 Livorno Bar Stools Gas lift Swivel Steel Chocolate - Steel & Choco These modern bar stools are sure to complement any household and will be a great addition to a kitchen and dining setting. Upholstered in faux leather, the bar stools also feature an extra thick foam padding seat for ultimate comfort. The semi-circular footrest ensures relaxed sitting while the omni-directional seat makes for easy turn to any facing. Better still, the height can be easily adjusted with the SGS-tested gas lift and the large base ensures stability at all times. Not least, a floor protector under the base helps to keep your pristine floor scratch-free at all times.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,"Mystique Trundle Wooden Bed Frame Timber Storage Drawers Base - Single Made of solid pine wood, the Rio Bed Frame is compatible with most Australian sized mattresses and ideal for use by both young and old alike. Strong and sturdy, the bed frame comes with a durable plywood slated base, reinforced angled brackets for long term support, stylish headboard, heavy-duty steel fixings and smooth edges all round. Finished in a non-toxic, eco-friendly white paint, the neutral-coloured bed frame makes for easy decor coordination. Better still, the bed frame also has ample room below it to fit in a pair of optional trundle drawers or any other storage boxes.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"Standing Desk Adjustable Height Desk Electric Motorised Black Frame Desk Top 140cm Now you have the choice of working while sitting or standing with our Artiss Roskos I Motorised Adjustable Desk. Using the smooth stepless motorised height adjustment and telescopic length adjustment, you can adjust the desk frame to suit your working preference.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,"Eliza Wicker Rocking Chairs Table Set Outdoor Setting Recliner Patio Furniture - Black Now you have the choice of working while sitting or standing with our Artiss Roskos I Motorised Adjustable Desk. Using the smooth stepless motorised height adjustment and telescopic length adjustment, you can adjust the desk frame to suit your working preference.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,"Dressing Table Stool Mirror Jewellery Organiser Makeup Cabinet 5 Drawers White Provided with subtle lighting, very easy on the eyes. Give yourself makeup that will set you apart. Makes you feel like a celebrity. Allows you to be more accurate with its clear view. Ample storage is provided so never feel disorganized. A smooth sliding drawer easily accesses your makeup accessories.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,"SUPER KING Luxury Bedding Two-Sided Quilt Cover with Pillowcase - Taupe Sleep tight, sleep heavy, and sleep well with our Bedding Set. With its smooth textures, it is bonded to relax you down and to keep all the stress away.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
